ProgramName,Tickers,Helper,Exp Ratio,3 Year,Eq Down Beta,FI Down Beta,Eq Corr,FI Corr,St Dev,Tenure
361 Global Long/Short Equity,AGAZX,Equity Long Short|Fee Based,0.0239,0.0081,0.51,1.34,0.92,-0.05,0.0848,66
361 Global Long/Short Equity  ,AGAQX,Equity Long Short|Fee Based,0.0271,0.0055,0.52,1.34,0.92,-0.06,0.0847,66
AB Select US Long/Short Portfolio    ,ASYLX,Equity Long Short|Fee Based,0.017,0.0659,0.44,2.49,0.97,-0.09,0.0921,90
Abbey Capital Futures Strategy  ,ABYIX,Managed Futures|Institutional,0.0179,0.0357,-0.31,1.1,0.05,0.27,0.0877,71
AllianzGI Structured Return  ,AZIPX,Equity Option|Fee Based,0.0082,-0.1073,2.01,2.16,0.63,0.09,0.1726,90
AlphaSimplex Global Alternatives   ,GAFYX,Alternative Allocation|Fee Based,0.0131,0.0115,0.39,1.56,0.86,-0.07,0.0681,126
AlphaSimplex Managed Futures Strategy   ,ASFYX,Managed Futures|Fee Based,0.0145,0.021,-0.43,1.76,-0.01,0.33,0.1219,118
Altegris Futures Evolution Strategy   ,EVONX,Managed Futures|Fee Based,0.0194,-0.04,0.94,2.45,0.43,0.28,0.1365,104
American Beacon AHL Managed Futures Strategy   ,AHLPX,Managed Futures|Fee Based,0.0192,0.0356,-0.57,0.47,-0.2,0.18,0.104,70
American Beacon AHL TargetRisk   ,AHTPX,Global Allocation|Fee Based,0.0142,0,0.36,0.7,0.48,0.3,0.0659,18
AQR Diversified Arbitrage ,ADANX,Equity Market Neutral|Fee Based,0.0232,0.0457,0.59,0.56,0.59,0.22,0.0622,126
AQR Equity Market Neutral ,QMNNX,Equity Market Neutral|Fee Based,0.0202,-0.1057,0,-1.16,-0.03,0.05,0.0686,68
AQR Global Macro ,QGMNX,Global Allocation|Fee Based,0.0148,0.0322,0.18,-2.25,0.42,-0.53,0.0588,74
AQR Long/Short Equity ,QLENX,Equity Long Short|Fee Based,0.0157,-0.0805,0.57,0.41,0.71,-0.05,0.1052,83
AQR Managed Futures Strategy ,AQMNX,Managed Futures|Fee Based,0.0151,-0.0101,-0.32,1.57,-0.02,0.14,0.0896,125
AQR Managed Futures Strategy HV ,QMHNX,Managed Futures|Fee Based,0.0192,-0.0242,-0.47,2.33,-0.02,0.15,0.1344,83
AQR Multi-Strategy Alternative ,ASANX,Alternative Allocation|Fee Based,0.0302,-0.171,0.87,0.47,0.52,0.02,0.1037,107
AQR Style Premia Alternative ,QSPNX,Alternative Allocation|Fee Based,0.0208,-0.1075,0.3,-0.3,0.19,-0.33,0.0753,80
AQR Style Premia Alternative LV ,QSLNX,Alternative Allocation|Fee Based,0.0151,-0.0524,0.17,-0.16,0.17,-0.29,0.0397,69
Arbitrage   ,ARBFX,Equity Market Neutral|Fee Based,0.0199,0.0223,0.16,0.05,0.57,0.22,0.0313,126
BlackRock Event Driven Equity ,BALPX,Equity Market Neutral|A Share,0.0175,0.0404,0.3,-0.2,0.71,0.19,0.0482,126
BlackRock Global Long/Short Credit ,BGCAX,Alternative Credit|A Share,0.0228,0.0111,0.53,0.45,0.69,0.14,0.0497,104
BlackRock Global Long/Short Equity ,BDMAX,Equity Market Neutral|A Share,0.0183,0.0368,-0.04,0.92,0.18,0.23,0.0552,90
BlackRock Systematic Multi-Strategy ,BAMBX,Global Allocation|A Share,0.0122,0.0637,0.19,0.67,0.68,0.46,0.0416,61
BlackRock Tactical Opportunities    ,PCBSX,Global Allocation|Fee Based,0.0118,0.0477,0.07,-1.35,0.44,-0.35,0.0439,126
Blackstone Alternative Multi-Strategy ,BXMIX,Alternative Allocation|Institutional,0.0293,-0.0049,0.93,1.41,0.66,0.12,0.0945,72
BNY Mellon Alternative Diversifier Strategies,DRNAX,Alternative Allocation|A Share,0.02,-0.0006,0.58,1.82,0.94,0.1,0.0713,75
BNY Mellon Dynamic Total Return,AVGAX,Global Allocation|A Share,0.0144,0.0178,0.55,2.28,0.93,0.03,0.0841,126
BNY Mellon Global Real Return,DRRAX,Global Allocation|A Share,0.0112,0.0385,0.62,1.92,0.71,0.43,0.0664,121
Boston Partners Emerging Markets Dynamic Equity,BELSX,Equity Long Short|Institutional,0.014,0.0078,0.39,2.38,0.79,0.05,0.1228,54
Boston Partners Global Long/Short,BGLSX,Equity Long Short|Institutional,0.0248,-0.0384,0.73,1.14,0.9,-0.07,0.093,77
Boston Partners Long/Short Research,BPIRX,Equity Long Short|Institutional,0.0215,-0.0443,0.79,2.02,0.89,-0.2,0.1065,116
BrandywineGLOBAL - Alternative Credit,LMAPX,Alternative Credit|A Share,0.0166,0.0074,0.97,0.36,0.35,0.2,0.0989,118
Calamos Market Neutral Income,CVSIX,Equity Market Neutral|A Share,0.0126,0.0357,0.29,0.06,0.93,0.05,0.0329,126
Catalyst/Millburn Hedge Strategy Fund  ,MBXIX,Global Allocation|Fee Based,0.0202,0.0144,1.09,4.06,0.86,0.03,0.1483,54
Catalyst/Warrington Strategic Program,CWXAX,Equity Option|A Share,0.026,-0.0346,-0.02,-0.91,-0.3,-0.02,0.0611,81
Columbia Multi Strategy Alternatives    ,CLFUX,Alternative Allocation|Fee Based,0.0102,-0.0753,0.25,1.43,0.46,0.03,0.0669,65
Credit Suisse Managed Futures Strategy  ,CSAIX,Managed Futures|Institutional,0.013,-0.0284,-0.49,1.08,-0.13,0.27,0.0994,113
Credit Suisse Multialternative Strategy,CSQAX,Alternative Allocation|A Share,0.0113,0.0201,-0.47,0.6,0.19,-0.16,0.0572,99
Diamond Hill Long-Short,DIAMX,Equity Long Short|A Share,0.0186,0.003,1.08,3.38,0.94,-0.09,0.1519,126
Driehaus Active Income,LCMAX,Alternative Credit|Fee Based,0.011,-0.0091,0.77,0.23,0.7,0.07,0.071,126
Franklin K2 Alternative Strategies    ,FABZX,Alternative Allocation|Fee Based,0.0234,0.0196,0.42,1.08,0.91,0.09,0.0521,79
Franklin K2 Long Short Credit    ,FKLZX,Alternative Credit|Fee Based,0.0259,0.0323,0.66,0.63,0.57,0.17,0.07,56
FS Multi-Strategy Alternatives ,FSMSX,Alternative Allocation|Fee Based,0.0186,-0.0028,0.29,1.16,0.49,0.24,0.0382,37
Gateway   ,GTEYX,Equity Option|Fee Based,0.007,0.0281,0.47,1.89,0.98,-0.05,0.0765,126
Glenmede Secured Options Portfolio ,GTSOX,Equity Option|Fee Based,0.0087,0.0187,1.2,1.72,0.94,0.01,0.128,120
Goldman Sachs Absolute Return Tracker    ,GSRTX,Alternative Allocation|Fee Based,0.0087,0.0181,0.5,1.16,0.93,0.02,0.0637,126
Goldman Sachs Long Short Credit Strategies   ,GSAWX,Alternative Credit|Institutional,0.0113,0.0232,0.54,0.76,0.76,0.15,0.0633,75
Goldman Sachs Multi-Manager Alternatives     ,GIMMX,Alternative Allocation|Fee Based,0.0194,0.0194,0.37,1.07,0.79,0.38,0.0497,86
Gotham Absolute Return,GARIX,Equity Long Short|Institutional,0.0215,0.0083,0.56,1.46,0.93,-0.17,0.1073,93
Infinity Q Diversified Alpha ,IQDAX,Alternative Allocation|Fee Based,0.0246,0.0801,-0.42,-1.99,-0.46,-0.12,0.0623,69
Invesco Oppenheimer Fundamental Alternatives    ,QOPYX,Alternative Allocation|Fee Based,0.0142,0.0019,0.27,1.37,0.84,-0.21,0.0472,125
JHancock Absolute Return Currency  ,JCUIX,Global Allocation|Fee Based,0.0106,0.0181,-0.86,0.67,-0.5,-0.04,0.0955,119
JHancock Alternative Asset Allocation,JAAAX,Alternative Allocation|A Share,0.017,0.0141,0.41,1.21,0.94,0.13,0.049,126
JHancock Multi-Asset Absolute Return  ,JHAIX,Alternative Allocation|Fee Based,0.0115,0.0149,0.12,1.28,0.8,0.2,0.045,102
JHancock Seaport Long/Short  ,JSFDX,Equity Long Short|Fee Based,0.0167,0.0426,0.49,2.49,0.87,0.07,0.0867,78
JPMorgan Hedged Equity,JHQAX,Equity Option|A Share,0.0085,0.083,0.08,1.83,0.88,-0.01,0.0752,78
JPMorgan Opportunistic Equity Long Short,JOELX,Equity Long Short|A Share,0.0233,0.0256,-0.07,0.42,0.42,-0.11,0.0649,70
Litman Gregory Masters Alternative Strategies ,MASNX,Alternative Allocation|Fee Based,0.0161,0.0166,0.63,1.08,0.81,0.17,0.0664,104
LoCorr Macro Strategies,LFMAX,Managed Futures|A Share,0.0225,0.04,0.23,1.86,0.36,0.43,0.08,110
LoCorr Market Trend,LOTAX,Managed Futures|A Share,0.02,0.0064,0.55,2.33,0.42,0.26,0.1292,71
Loomis Sayles Strategic Alpha   ,LASYX,Alternative Credit|Fee Based,0.0075,0.0287,0.43,0.26,0.68,0.13,0.0478,114
Merger ,MERFX,Equity Market Neutral|Fee Based,0.0201,0.0455,0.19,-1.1,0.5,0.05,0.0331,126
Neuberger Berman Long Short,NLSAX,Equity Long Short|A Share,0.0214,0.0617,0.49,2.7,0.94,0.11,0.076,102
Neuberger Berman U.S. Equity Index PutWrite Strategy,NUPAX,Equity Option|A Share,0.0102,0.0254,0.82,2.79,0.97,0.01,0.11,45
PACE Alternative Strategies Investments ,PASPX,Alternative Allocation|Fee Based,0.0252,0.0134,0.25,0.54,0.92,0.03,0.0477,126
Partners III Opportunity,WPOPX,Equity Long Short|Institutional,0.0156,0.0579,1.09,2.68,0.84,0.15,0.1625,125
PGIM QMA Long-Short Equity,PLHAX,Equity Long Short|A Share,0.0215,-0.0218,0.56,1.3,0.87,-0.18,0.111,73
PIMCO Credit Opportunities Bond   ,PPCRX,Alternative Credit|Fee Based,0.0103,0.0225,0.66,1.11,0.71,0.25,0.0625,105
PIMCO Emerging Markets Currency and Short-Term Investments  ,PLMPX,Global Allocation|Fee Based,0.0098,-0.0047,0.46,1.09,0.6,-0.03,0.0882,126
PIMCO Emerging Markets Local Currency and Bond   ,PELPX,Alternative Credit|Fee Based,0.0104,0.0064,1,0.96,0.6,0.07,0.1482,125
PIMCO RAE Fundamental Advantage PLUS,PTFAX,Equity Market Neutral|A Share,0.0138,-0.0501,0.52,0.08,0.56,-0.26,0.0609,126
PIMCO RAE Worldwide Long/Short PLUS  ,PWLIX,Equity Long Short|Institutional,0.0128,-0.0017,0.88,1.84,0.83,-0.07,0.1056,66
PIMCO TRENDS Managed Futures Strategy  ,PQTPX,Managed Futures|Fee Based,0.0144,0.045,-0.57,1.73,-0.32,0.25,0.0891,77
Principal Global Multi-Strategy,PMSAX,Alternative Allocation|A Share,0.0339,0.0089,0.51,1.32,0.86,0.14,0.0613,103
Putnam Multi-Asset Absolute Return ,PDMBX,Global Allocation|Fee Based,0.0168,-0.0274,0.24,0.88,0.46,0.23,0.0541,126
Putnam Multi-Asset Absolute Return     ,PDMYX,Global Allocation|Fee Based,0.0068,-0.0178,0.24,0.9,0.46,0.23,0.0541,126
SEI Multi-Strategy Alternative,SMSAX,Alternative Allocation|Fee Based,0.0289,0.0136,0.32,0.34,0.87,0.02,0.0517,122
Swan Defined Risk,SDRAX,Equity Option|A Share,0.0152,0.0153,0.6,3.37,0.95,0.01,0.1021,95
The Gabelli ABC,GADVX,Equity Market Neutral|Fee Based,0.0082,0.0104,0.34,0.68,0.87,0.13,0.0366,126
The Gabelli ABC ,GABCX,Equity Market Neutral|Fee Based,0.0057,0.0128,0.33,0.61,0.88,0.11,0.0364,126
Vanguard Alternative Strategies,VASFX,Alternative Allocation|Fee Based,0.0079,-0.0209,0.93,1.02,0.49,0.12,0.0803,58
Vanguard Market Neutral ,VMNFX,Equity Market Neutral|Fee Based,0.0148,-0.049,0.26,-0.88,0.13,-0.12,0.0516,126
Vivaldi Merger Arbitrage,VARAX,Equity Market Neutral|A Share,0.0284,0.0214,0.08,0.4,0.37,0.17,0.0331,126
Water Island Credit Opportunities  ,ACFIX,Alternative Credit|Institutional,0.013,0.033,0.45,-0.02,0.66,0.2,0.0457,92
Water Island Diversified Event-Driven   ,AEDFX,Equity Market Neutral|Fee Based,0.0222,0.0286,0.16,0.27,0.73,0.12,0.0433,116
Western Asset Macro Opportunities,LAAAX,Global Allocation|A Share,0.0159,0.0312,0.64,2.52,0.62,0.22,0.1035,81
William Blair Macro Allocation ,WMCNX,Global Allocation|Fee Based,0.0141,-0.0083,0.25,-0.05,0.44,-0.26,0.0607,103
